"Number of processors";1;4;8;12;16
"Elapsed time (sec)";1.333268;0.410637;0.266559;0.240578;0.285885
"Speedup";1.000000;3.246829;5.001768;5.541941;4.663647
"Efficiency";1.000000;0.811707;0.625221;0.461828;0.291478
#
