"Number of processors";1;4;8;12;16
"Elapsed time (sec)";1.246171;0.562417;0.446037;0.405211;0.366828
"Speedup";1.000000;2.215743;2.793870;3.075362;3.397157
"Efficiency";1.000000;0.553936;0.349234;0.256280;0.212322
#
