"Number of processes";1;4;8;12;16
"Parallel fraction";83.720000
"Global efficiency";98.807499;49.241446;24.086005;8.817582;5.448258
"-- Parallelization strategy efficiency";98.807499;88.998286;87.042458;73.414153;55.558214
" -- Load balancing";99.999999;98.345483;97.719926;98.140858;97.626040
" -- In execution efficiency";98.807500;90.495550;89.073397;74.804882;56.909216
"-- Scalability for computation tasks";100.000000;55.328533;27.671559;12.010738;9.806395
" -- IPC scalability";100.000000;68.875552;50.935437;39.416806;40.121765
" -- Instruction scalability";100.000000;98.328737;96.194236;94.129186;92.182675
" -- Frequency scalability";100.000000;81.696529;56.476079;32.371585;26.514294
