"Number of processors";1;4;8;12;16
"Elapsed time (sec)";1.324731;0.766148;0.806483;1.256067;1.495870
"Speedup";1.000000;1.729079;1.642601;1.054665;0.885592
"Efficiency";1.000000;0.432270;0.205325;0.087889;0.055350
#
